KVIKA;Kvika;bank
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-16;13,50;13,68;13,40;13,75;13,40;13,60;13,568;27424223;372361309,2;24;
2020-11-13;13,32;13,50;13,36;13,46;13,21;13,46;13,347;21029000;280676280;22;
2020-11-12;13,51;13,57;13,50;13,59;13,35;13,51;13,473;52248978;703536080,3;22;
2020-11-11;13,21;13,39;13,09;13,39;13,05;13,39;13,248;20135868;266761352,52;23;
2020-11-10;12,93;13,07;12,76;13,07;12,76;13,07;12,968;9743666;126355781,4;11;
2020-11-09;12,80;12,94;12,61;12,99;12,61;12,88;12,779;15246000;194311910;18;
2020-11-06;12,33;12,44;12,30;12,44;12,30;12,44;12,36;24637970;304928403,42;21;
2020-11-05;12,18;12,32;12,32;12,32;12,27;12,27;12,275;560000;6874200;3;
2020-11-04;12,17;12,32;12,30;12,32;12,16;12,32;12,193;337890;4119822,24;3;
2020-11-03;12,18;12,30;12,20;12,30;12,16;12,23;12,243;15120398;185120445,7;14;
2020-11-02;12,10;12,21;12,18;12,23;12,18;12,23;12,213;265000;3236400;3;
2020-10-30;12,05;12,23;12,30;12,30;12,12;12,12;12,232;6331300;77443512;9;
2020-10-29;12,14;12,30;12,05;12,30;12,05;12,23;12,231;8248066;100881202,52;11;
2020-10-28;12,05;12,23;12,12;12,18;12,08;12,08;12,112;3473450;42070994;8;
2020-10-27;12,16;12,33;12,18;12,18;12,18;12,18;12,18;60000;730800;1;
2020-10-26;12,16;12,33;12,38;12,38;12,18;12,18;12,28;2341000;28747860;6;
2020-10-23;12,21;12,38;12,28;12,31;12,25;12,31;12,273;28702069;352273386,63;8;
2020-10-22;12,18;12,20;12,18;12,20;12,18;12,20;12,182;10240000;124758000;11;
2020-10-21;12,11;12,18;12,16;12,18;12,16;12,16;12,171;23556667;286716604,06;16;
2020-10-20;12,02;12,18;12,12;12,18;12,10;12,18;12,142;3754000;45582720;6;
2020-10-19;12,05;12,10;12,05;12,05;12,05;12,05;12,05;1250000;15062500;1;
2020-10-16;12,00;12,10;12,07;12,10;12,05;12,05;12,07;3046225;36767525,75;9;
2020-10-15;11,90;11,99;11,95;11,98;11,85;11,93;11,938;50372872;601051293,02;17;
2020-10-14;11,80;11,95;11,89;11,90;11,87;11,87;11,886;7068000;84006700;13;
2020-10-13;11,74;11,89;11,74;11,89;11,74;11,89;11,821;2174634;25705434,51;3;
2020-10-12;11,74;11,89;11,76;11,76;11,76;11,76;11,76;1000000;11760000;1;
2020-10-09;11,75;11,90;11,75;11,90;11,68;11,76;11,872;107177724;1272438534,42;28;
2020-10-08;11,58;11,74;11,30;11,75;11,30;11,75;11,514;37244626;429200399,77;19;
2020-10-07;11,16;11,20;11,14;11,22;11,10;11,16;11,187;9794492;109573850,18;11;
2020-10-06;11,05;11,20;11,24;11,24;11,07;11,20;11,079;7256000;80387288;6;
2020-10-05;11,09;11,22;11,12;11,22;11,12;11,22;11,121;4379117;48698381,04;10;
2020-10-02;11,15;11,25;10,97;11,21;10,97;11,21;11,062;11047144;122223854,27;17;
2020-10-01;10,99;11,10;11,00;11,11;11,00;11,10;11,002;4073639;44817346,81;21;
2020-09-30;11,01;11,05;11,13;11,14;11,06;11,06;11,097;7143870;79272610,85;11;
2020-09-29;10,94;11,10;10,80;11,10;10,72;11,10;10,898;119050575;1304992667,83;61;
2020-09-28;10,30;10,43;10,40;10,47;10,35;10,43;10,375;5004100;51917847;5;
2020-09-25;10,30;10,40;10,36;10,40;10,30;10,40;10,359;7896589;81798761,95;11;
2020-09-24;10,40;10,47;10,40;10,45;10,40;10,45;10,437;6150000;64190000;5;
2020-09-23;10,45;10,47;10,55;10,55;10,40;10,50;10,401;2504000;26192100;4;
2020-09-22;10,35;10,45;10,40;10,45;10,30;10,45;10,352;9817170;101626949,5;15;
2020-09-21;10,22;10,37;10,38;10,45;10,30;10,37;10,34;5018000;51886440;11;
2020-09-18;10,48;10,63;10,71;10,71;10,55;10,61;10,551;2256000;23801440;6;
2020-09-17;10,57;10,69;10,475;10,71;10,475;10,635;10,591;8740898;92574329,89;13;
2020-09-16;10,43;10,52;10,43;10,52;10,43;10,475;10,471;2177250;22798897,5;4;
2020-09-15;10,43;10,52;10,50;10,55;10,43;10,43;10,463;3268800;34202550;7;
2020-09-14;10,50;10,64;10,68;10,68;10,54;10,60;10,591;6768000;71678580;6;
2020-09-11;10,55;10,69;10,64;10,69;10,64;10,69;10,664;9272000;98874380;6;
2020-09-10;10,51;10,65;10,63;10,69;10,55;10,65;10,594;5185666;54934736,24;12;
2020-09-09;10,50;10,55;10,54;10,61;10,54;10,61;10,54;1252000;13196220;3;
2020-09-08;10,56;10,65;10,70;10,70;10,56;10,58;10,676;15213333;162415296,48;17;
2020-09-07;10,60;10,72;10,58;10,70;10,55;10,70;10,615;8881588;94281596,35;14;
2020-09-04;10,51;10,65;10,50;10,66;10,50;10,50;10,604;11824863;125075851,5;14;
2020-09-03;10,50;10,65;10,44;10,64;10,44;10,64;10,518;10878500;114443415;16;
2020-09-02;10,27;10,40;10,15;10,40;10,15;10,40;10,25;4793077;49130700,8;9;
2020-09-01;10,03;10,15;10,15;10,15;10,07;10,07;10,097;12883333;130079163,31;4;
2020-08-31;9,98;10,13;10,09;10,09;10,00;10,09;10,064;3995590;40212201,55;6;
2020-08-28;9,95;10,09;9,97;10,09;9,97;10,09;9,986;1720000;17176450;5;
2020-08-27;9,95;10,09;10,01;10,08;10,00;10,00;10,003;4100000;41012700;5;
2020-08-26;9,88;9,99;9,97;10,00;9,94;10,00;9,953;3752500;37350000;4;
2020-08-25;9,97;10,10;9,99;10,05;9,99;10,035;10,037;9250000;92842500;4;
2020-08-24;10,05;10,16;10,09;10,17;10,06;10,06;10,077;53450997;534682640;5;
2020-08-21;10,18;10,30;10,20;10,30;10,18;10,30;10,207;1365000;13932700;3;
2020-08-20;10,06;10,20;10,09;10,19;10,06;10,125;10,12;8181285;82797696,24;7;
2020-08-19;9,96;10,09;;;;10,05;;;;0;
2020-08-18;9,96;10,09;10,05;10,05;9,95;10,05;10,042;250000;2510500;3;
2020-08-17;9,96;10,09;9,94;10,00;9,94;10,00;9,97;2500000;24925000;2;
2020-08-14;9,96;10,00;10,175;10,175;10,10;10,10;10,146;6500000;65950000;3;
2020-08-13;10,10;10,25;10,20;10,21;10,20;10,20;10,20;12000000;122400050;6;
2020-08-12;10,20;10,35;10,34;10,34;10,34;10,34;10,34;1250000;12925000;1;
2020-08-11;10,20;10,35;10,20;10,44;10,20;10,30;10,336;16550000;171060000;11;
2020-08-10;10,03;10,15;10,05;10,15;10,05;10,15;10,087;3265000;32934709,12;4;
2020-08-07;9,95;10,05;10,25;10,25;9,96;10,03;10,087;10185271;102741527,75;14;
2020-08-06;10,28;10,40;10,30;10,38;10,26;10,30;10,325;4777729;49329654,12;7;
2020-08-05;10,15;10,28;10,18;10,28;10,18;10,28;10,246;8076078;82749895,6;7;
2020-08-04;10,08;10,22;10,08;10,17;10,08;10,15;10,12;3010667;30466603,36;3;
2020-07-31;10,05;10,15;9,99;10,10;9,99;10,10;10,04;5445920;54678792;6;
2020-07-30;9,86;9,98;10,10;10,10;9,91;9,91;9,985;5000000;49925000;7;
2020-07-29;10,06;10,21;10,20;10,20;9,96;10,20;10,097;19950000;201437000;20;
2020-07-28;10,24;10,35;10,60;10,60;10,28;10,30;10,423;8920000;92970500;10;
2020-07-27;10,60;10,74;10,81;10,86;10,63;10,63;10,785;10287302;110948795,36;13;
2020-07-24;10,71;10,81;10,74;10,81;10,74;10,81;10,768;5729000;61691190;6;
2020-07-23;10,59;10,74;10,56;10,73;10,56;10,70;10,639;20111912;213974862,3;19;
2020-07-22;10,40;10,48;;;;10,48;;;;0;
2020-07-21;10,41;10,48;;;;10,48;;;;0;
2020-07-20;10,40;10,50;10,35;10,50;10,35;10,48;10,432;13102380;136679990;10;
2020-07-17;10,25;10,35;10,09;10,30;10,09;10,30;10,195;4830000;49239700;6;
2020-07-16;10,00;10,14;10,00;10,14;10,00;10,14;10,00;26117000;261240280;4;
2020-07-15;10,00;10,14;10,00;10,14;10,00;10,14;10,002;188970;1890120;3;
2020-07-14;10,00;10,14;10,03;10,03;10,03;10,03;10,03;1250000;12537500;2;
2020-07-13;10,04;10,14;10,05;10,14;10,05;10,14;10,051;615132;6182526,6;3;
2020-07-10;10,03;10,18;9,92;10,14;9,92;10,14;9,984;22671400;226078180;16;
2020-07-09;9,85;9,92;9,92;9,92;9,92;9,92;9,92;5000;49600;1;
2020-07-08;9,80;9,92;9,74;9,82;9,74;9,80;9,787;3925530;38420194;5;
2020-07-07;9,55;9,60;9,595;9,595;9,595;9,595;9,595;1000000;9595000;1;
2020-07-06;9,55;9,64;9,61;9,61;9,55;9,55;9,607;1320000;12681000;2;
2020-07-03;9,50;9,64;9,55;9,55;9,55;9,55;9,55;166666;1591660,3;1;
2020-07-02;9,55;9,64;9,60;9,60;9,55;9,55;9,581;2023092;19382695,27;4;
2020-07-01;9,60;9,69;9,69;9,69;9,69;9,69;9,69;20250;196222,5;1;
2020-06-30;9,60;9,69;9,65;9,69;9,60;9,69;9,678;3550000;34355000;4;
2020-06-29;9,60;9,68;9,58;9,64;9,58;9,63;9,637;2605000;25103400;4;
2020-06-26;9,61;9,73;9,84;9,84;9,70;9,70;9,703;1291000;12526450;4;
2020-06-25;9,74;9,87;9,76;9,76;9,75;9,76;9,76;9100000;89075000;5;
2020-06-24;9,76;9,88;9,80;9,97;9,80;9,80;9,905;26836799;265821230,09;19;
2020-06-23;9,68;9,76;9,75;9,75;9,75;9,75;9,75;5000000;48750000;1;
2020-06-22;9,67;9,75;9,63;9,75;9,63;9,75;9,662;10970300;105993875;9;
2020-06-19;9,57;9,70;9,63;9,63;9,63;9,63;9,63;550000;5296500;1;
2020-06-18;9,59;9,73;9,50;9,63;9,40;9,63;9,525;12310000;117248900;20;
2020-06-16;9,30;9,41;9,29;9,41;9,29;9,31;9,367;22173000;207687700;17;
2020-06-15;9,10;9,21;9,00;9,18;9,00;9,18;9,087;4750000;43162500;4;
2020-06-12;9,15;9,23;9,20;9,265;9,15;9,15;9,224;10100000;93162500;13;
2020-06-11;9,24;9,36;9,15;9,32;9,15;9,32;9,278;4400000;40822500;4;
2020-06-10;9,26;9,39;9,29;9,31;9,26;9,26;9,284;6791360;63047993,6;8;
2020-06-09;9,28;9,38;9,40;9,40;9,30;9,36;9,327;9159710;85435953,6;7;
2020-06-08;9,45;9,49;9,335;9,48;9,335;9,48;9,444;32681000;308649480;14;
2020-06-05;9,27;9,39;9,25;9,40;9,23;9,40;9,264;9626250;89181250;11;
2020-06-04;9,14;9,25;9,185;9,25;9,185;9,25;9,24;3200000;29567000;3;
2020-06-03;9,15;9,25;9,065;9,21;9,065;9,21;9,145;12189400;111470328;10;
2020-06-02;9,01;9,13;9,10;9,10;9,05;9,05;9,09;6056954;55057695,4;4;
2020-05-29;9,07;9,20;9,10;9,20;9,10;9,20;9,171;3502588;32123809,6;3;
2020-05-28;9,07;9,19;9,10;9,21;9,07;9,07;9,099;4824210;43897584,7;4;
2020-05-27;9,00;9,15;9,00;9,20;9,00;9,10;9,111;26270000;239333000;9;
2020-05-26;9,00;9,10;9,00;9,12;9,00;9,10;9,021;18215006;164310694,3;12;
2020-05-25;8,80;9,00;8,775;8,90;8,775;8,90;8,812;4250000;37450000;3;
2020-05-22;8,60;8,85;8,70;8,70;8,675;8,675;8,68;6250000;54250000;2;
2020-05-20;8,80;8,90;9,25;9,25;8,85;8,85;9,023;8780000;79220000;7;
2020-05-19;9,10;9,14;9,15;9,15;9,14;9,14;9,146;570000;5213000;2;
2020-05-18;9,05;9,30;9,05;9,29;9,05;9,10;9,152;28671151;262398332,79;22;
2020-05-15;8,88;8,98;8,80;9,00;8,80;8,98;8,875;4961266;44032848,74;16;
2020-05-14;8,70;8,90;8,75;8,80;8,69;8,80;8,712;19507439;169954719,3;9;
2020-05-13;8,55;8,75;8,50;8,70;8,50;8,65;8,604;16591465;141485009,5;16;
2020-05-12;8,30;8,32;8,20;8,30;8,10;8,30;8,291;7579674;62138784,4;7;
2020-05-11;8,10;8,27;8,27;8,27;8,27;8,27;8,27;3700;30599;1;
2020-05-08;8,13;8,27;8,15;8,25;8,15;8,15;8,15;9250000;75389330;3;
2020-05-07;8,15;8,27;8,24;8,27;8,15;8,15;8,251;4018700;33158905;7;
2020-05-06;8,15;8,25;;;;8,25;;;;0;
2020-05-05;8,06;8,30;8,15;8,25;8,05;8,25;8,238;11106175;91496796,95;11;
2020-05-04;8,11;8,34;8,11;8,15;8,11;8,15;8,142;125000;1017750;2;
2020-04-30;8,20;8,25;8,30;8,30;8,20;8,20;8,223;47501667;389951669,4;11;
2020-04-29;8,00;8,20;8,15;8,20;8,00;8,00;8,139;39703000;322313300;15;
2020-04-28;8,08;8,30;8,20;8,30;8,15;8,30;8,15;10082000;82172600;4;
2020-04-27;8,20;8,30;;;;8,29;;;;0;
2020-04-24;7,95;8,29;8,20;8,30;8,15;8,29;8,176;5337100;44098170;10;
2020-04-22;8,17;8,30;8,20;8,24;8,20;8,24;8,226;3400000;27967500;3;
2020-04-21;8,13;8,25;8,40;8,40;8,19;8,23;8,294;6700000;55571500;7;
2020-04-20;8,48;8,63;8,48;8,63;8,48;8,63;8,492;6403635;54663990,15;7;
2020-04-17;8,46;8,58;8,60;8,69;8,45;8,52;8,603;4710000;40519833,31;10;
2020-04-16;8,36;8,60;8,56;8,60;8,35;8,60;8,563;3289721;28168661,52;9;
2020-04-15;8,15;8,57;8,57;8,57;8,57;8,57;8,57;3616000;31019120;6;
2020-04-14;8,20;8,57;8,25;8,58;8,25;8,58;8,391;6079317;51011015,25;10;
2020-04-08;8,20;8,45;8,40;8,40;8,20;8,20;8,262;4310000;35607250;14;
2020-04-07;8,25;8,56;8,39;8,57;8,39;8,56;8,444;12143411;102543098,15;14;
2020-04-06;8,35;8,37;8,30;8,37;8,30;8,37;8,345;1660000;13852200;7;
2020-04-03;8,15;8,45;8,00;8,59;8,00;8,45;8,072;61408242;495696485,58;23;
2020-04-02;8,00;8,20;8,12;8,35;8,00;8,33;8,12;2801400;22746312;6;
2020-04-01;8,12;8,35;8,26;8,35;8,21;8,22;8,236;2647001;21800208,25;6;
2020-03-31;8,26;8,48;8,30;8,45;8,18;8,45;8,375;20015000;167621000;21;
2020-03-30;8,00;8,25;8,10;8,20;8,10;8,18;8,107;4871000;39490200;10;
2020-03-27;7,78;8,21;7,71;8,30;7,71;7,90;7,985;38673500;308807700;25;
2020-03-26;7,45;7,63;7,27;7,40;7,27;7,40;7,312;6304000;46126270;6;
2020-03-25;7,00;7,45;7,59;7,59;7,10;7,25;7,261;14176000;100320500;7;
2020-03-24;6,90;7,22;7,22;7,22;7,22;7,22;7,22;100000;722000;1;
2020-03-23;6,70;7,19;6,60;7,19;6,60;7,19;6,66;2126521;14163388,9;10;
2020-03-20;7,06;7,20;7,23;7,23;7,00;7,20;7,006;16062396;112500495,99;6;
2020-03-19;7,00;7,18;7,25;7,25;7,00;7,00;7,168;1431475;10206183;8;
2020-03-18;6,96;7,09;7,00;7,10;6,90;7,09;6,933;7865000;54394000;10;
2020-03-17;6,82;7,25;7,00;7,00;6,81;7,00;6,83;1400000;9562500;4;
2020-03-16;7,01;7,47;7,20;7,48;7,00;7,00;7,109;7177842;50631020,9;19;
2020-03-13;7,65;7,89;7,50;7,89;7,40;7,89;7,514;575434;4323563,02;8;
2020-03-12;7,60;8,00;7,27;8,00;6,80;8,00;7,119;38133196;271474003,91;29;
2020-03-11;7,95;8,06;8,17;8,17;7,95;7,95;8,003;30730200;245944340;11;
2020-03-10;7,95;8,01;8,27;8,35;7,95;7,95;8,116;43080500;349508562,3;29;
2020-03-09;7,80;7,91;8,00;8,00;7,70;7,91;7,797;87333000;713486230;32;
2020-03-06;8,40;8,51;8,78;8,78;8,40;8,40;8,586;23218405;199342654,97;29;
2020-03-05;8,84;8,95;8,93;8,95;8,85;8,95;8,90;7554787;67234901,19;10;
2020-03-04;8,90;8,98;9,035;9,05;8,95;8,98;8,976;10336927;93016610,45;13;
2020-03-03;8,97;9,08;9,00;9,08;8,95;9,08;9,024;18224400;164462932;26;
2020-03-02;8,79;8,88;9,30;9,30;8,79;8,79;9,036;20214705;182651522,62;32;
2020-02-28;9,26;9,37;9,45;9,53;9,29;9,29;9,398;32003915;300769364,25;43;
2020-02-27;9,70;9,83;9,89;9,90;9,67;9,67;9,796;17060606;167129999,4;10;
2020-02-26;9,85;9,99;9,88;9,89;9,73;9,89;9,806;28120000;275743400;27;
2020-02-25;10,00;10,04;10,10;10,10;9,85;10,04;9,955;76566759;762963137,15;26;
2020-02-24;10,15;10,28;10,24;10,24;10,15;10,15;10,212;3650000;37273250;5;
2020-02-21;10,37;10,45;10,45;10,45;10,43;10,43;10,431;3150000;32857500;2;
2020-02-20;10,30;10,45;10,49;10,55;10,38;10,38;10,452;39280646;410567750,7;11;
2020-02-19;10,37;10,49;10,30;10,50;10,30;10,50;10,352;8483570;87818271;9;
2020-02-18;10,30;10,35;;;;10,30;;;;0;
2020-02-17;10,20;10,32;10,30;10,30;10,30;10,30;10,292;6250000;64325000;2;
2020-02-14;10,35;10,45;10,40;10,40;10,35;10,35;10,398;2584000;26869400;2;
2020-02-13;10,35;10,50;10,40;10,40;10,40;10,40;10,40;250000;2600000;1;
2020-02-12;10,36;10,50;10,50;10,50;10,50;10,50;10,50;1000000;10405000;2;
2020-02-11;10,36;10,50;10,40;10,40;10,40;10,40;10,40;52654;547601,6;1;
2020-02-10;10,36;10,50;10,35;10,40;10,33;10,40;10,37;5000000;51850000;4;
2020-02-07;10,36;10,50;10,50;10,50;10,50;10,50;10,50;463785;4869742,5;6;
2020-02-06;10,35;10,50;10,45;10,45;10,40;10,45;10,437;5650000;58967500;7;
2020-02-05;10,45;10,60;10,55;10,55;10,45;10,45;10,502;13367838;140383907,1;11;
2020-02-04;10,35;10,50;10,34;10,50;10,34;10,37;10,446;12539296;130989999,52;8;
2020-02-03;10,15;10,21;10,40;10,40;10,18;10,18;10,283;10325000;106174250;14;
2020-01-31;10,40;10,55;10,65;10,65;10,50;10,50;10,53;8519000;89702350;5;
2020-01-30;10,50;10,65;10,675;10,675;10,60;10,60;10,65;8906146;94850454,9;4;
2020-01-29;10,65;10,75;10,70;10,73;10,70;10,73;10,713;6500000;69910000;4;
2020-01-28;10,70;10,80;10,82;10,85;10,82;10,85;10,829;4750000;51280000;6;
